cell_id,row,col,center_lon,center_lat,theta_rad,theta_deg,rho,R,X_center,Y_center,fixed_cell_side,four_vertex_area,four_vertex_signed_area,source_center_theta_rad,source_center_R,source_center_X,source_center_Y
24,4,9,116.1499940000,39.7500000000,4.2603331915,244.099111,0.7592307995,1.6453461796,-0.7187131136,-1.4800728060,0.1474586821,0.0217440629,0.0217440629,4.2605365281,1.6465270294,-0.7189277435,-1.4812812556
25,4,10,116.2500000000,39.7500000000,4.3728734208,250.547191,0.7493694000,1.6369639900,-0.5451586816,-1.5435197169,0.1464745486,0.0214547934,0.0214547934,4.3786866963,1.6541017798,-0.5417899838,-1.5628551793
26,4,11,116.3500060000,39.7500000000,4.5061123135,258.181218,0.6889916209,1.5856428777,-0.3247665038,-1.5520277233,0.1496973928,0.0224093094,0.0224093094,4.5073209857,1.5843045308,-0.3226178417,-1.5511088210
27,4,12,116.4500000000,39.7500000000,4.6468217909,266.243277,0.6871317449,1.5840619832,-0.1037880898,-1.5806582170,0.1484024055,0.0220232739,0.0220232739,4.6431664014,1.5466323036,-0.1069763947,-1.5429282334
28,4,13,116.5500000000,39.7500000000,4.7850711069,274.164379,0.7570798074,1.6435178363,0.1193492256,-1.6391786481,0.1702242989,0.0289763119,0.0289763119,4.7816115594,1.6749196021,0.1158496819,-1.6709082933
29,4,14,116.6499940000,39.7500000000,4.9181563873,281.789604,0.7869363388,1.6688958880,0.3409862011,-1.6336896570,0.1701054124,0.0289358513,0.0289358513,4.9174569751,1.6690883915,0.3398826955,-1.6341162174
30,4,15,116.7500000000,39.7500000000,5.0463469551,289.134382,0.8171829570,1.6946055134,0.5554660854,-1.6009825964,0.1686076124,0.0284285270,0.0284285270,5.0460912645,1.6827034645,0.5511582745,-1.5898790853
31,4,16,116.8500060000,39.7500000000,5.1661207302,295.996914,0.9071031365,1.7710376661,0.7762860841,-1.5918399198,0.1638668383,0.0268523407,0.0268523407,5.1642414326,1.7578433246,0.7675320916,-1.5814258257
32,5,3,115.5500000000,39.8500020000,3.6919662592,211.534085,0.9375698610,1.7969343818,-1.5315796149,-0.9398069249,0.0923218811,0.0085233297,0.0085233297,3.6973729683,1.8279461984,-1.5528201881,-0.9644359843
33,5,4,115.6499940000,39.8500020000,3.7442602266,214.530308,0.8308087061,1.7061874002,-1.4056023177,-0.9671388571,0.1403197257,0.0196896254,0.0196896254,3.7483822082,1.6935352461,-1.3912103305,-0.9657098147
34,5,5,115.7500000000,39.8500020000,3.8088758885,218.232513,0.7350824122,1.6248200503,-1.2763056453,-1.0055267752,0.1127800332,0.0127193359,0.0127193359,3.8081771378,1.6362292395,-1.2859748625,-1.0116890715
35,5,6,115.8500060000,39.8500020000,3.8738832515,221.957161,0.6715752880,1.5708389948,-1.1681464364,-1.0502233337,0.1118076322,0.0125009466,0.0125009466,3.8786733326,1.5635032086,-1.1576707346,-1.0508761837
36,5,7,115.9500000000,39.8500020000,3.9627748950,227.050277,0.6390656260,1.5432057821,-1.0514730433,-1.1295523561,0.1350322936,0.0182337203,0.0182337203,3.9620915165,1.5495666036,-1.0565818763,-1.1334863907
37,5,8,116.0500000000,39.8500020000,4.0612234912,232.690966,0.6031858071,1.5127079360,-0.9168731880,-1.2031744915,0.1354212738,0.0183389214,0.0183389214,4.0608282541,1.5025522675,-0.9111899724,-1.1947368542
38,5,9,116.1499940000,39.8500020000,4.1761806317,239.277525,0.6129209122,1.5209827754,-0.7770399410,-1.3075157869,0.1582481621,0.0250424808,0.0250424808,4.1769859944,1.5292727953,-0.7802161306,-1.3152711020
39,5,10,116.2500000000,39.8500020000,4.3099083671,246.939560,0.6167035984,1.5241980587,-0.5970313335,-1.4024026914,0.1611640512,0.0259738514,0.0259738514,4.3116152435,1.5286066523,-0.5963566654,-1.4074789608
40,5,11,116.3500060000,39.8500020000,4.4553833638,255.274663,0.5828405684,1.4954144831,-0.3801129198,-1.4462982557,0.1733089093,0.0300359780,0.0300359780,4.4634489297,1.4977068228,-0.3690002479,-1.4515386815
41,5,12,116.4500000000,39.8500020000,4.6333101367,265.469116,0.5650024799,1.4802521079,-0.1169346616,-1.4756261681,0.1548741287,0.0239859957,0.0239859957,4.6278498418,1.4485387719,-0.1223124066,-1.4433655978
42,5,13,116.5500000000,39.8500020000,4.8004309115,275.044431,0.6138726549,1.5217917566,0.1338084617,-1.5158975711,0.1786736379,0.0319242689,0.0319242689,4.7969281189,1.5552208911,0.1313204822,-1.5496667226
43,5,14,116.6499940000,39.8500020000,4.9612246905,284.257236,0.6446856365,1.5479827910,0.3812305406,-1.5003046344,0.1688303349,0.0285036820,0.0285036820,4.9613290311,1.5534515915,0.3827344669,-1.5055650683
44,5,15,116.7500000000,39.8500020000,5.1159038812,293.119701,0.7089070342,1.6025709790,0.6292548926,-1.4738629594,0.1703746049,0.0290275060,0.0290275060,5.1131627173,1.6053241793,0.6262865420,-1.4781173458
45,5,16,116.8500060000,39.8500020000,5.2482245325,300.701116,0.9152693476,1.7779789455,0.9077643270,-1.5287815597,0.1544139950,0.0238436819,0.0238436819,5.2477919663,1.7183871492,0.8766999430,-1.4779213797
46,6,2,115.4500000000,39.9500000000,3.5516790936,203.496222,1.0165180501,1.8640403426,-1.7094859794,-0.7431716390,0.1333079718,0.0177710153,0.0177710153,3.5536364438,1.8419084279,-1.6877484914,-0.7376528227
