cell_id,row,col,initial_layer,optimized_layer,layer_changed,initial_slot,optimized_slot,source_radius,source_theta_deg,optimized_center_theta_deg,angular_displacement_deg,theta_left_deg,theta_right_deg,angular_width_deg,r_inner,r_outer,original_degree,preserved_degree,lost_degree,new_degree
138,12,10,2,2,0,27,27,1.5801327138,127.331729,136.697799,9.366071,490.205818,503.189781,12.983963,1.2833333333,1.4250000000,4,3,1,2
139,12,11,1,2,1,25,26,1.4664727009,114.588099,120.081705,5.493606,469.957593,490.205818,20.248225,1.2833333333,1.4250000000,4,4,0,1
140,12,12,0,1,1,26,23,1.3307738213,98.672721,105.208056,6.535335,455.643987,474.772125,19.128138,1.1416666667,1.2833333333,4,4,0,3
141,12,13,0,0,0,25,19,1.2803597628,81.327279,88.710345,7.383066,433.914700,463.505991,29.591291,1.0000000000,1.1416666667,4,3,1,2
142,12,14,1,1,0,22,21,1.3906044943,65.411901,73.777070,8.365169,432.114407,435.439732,3.325325,1.1416666667,1.2833333333,4,4,0,1
143,12,15,1,1,0,21,20,1.4859977872,52.668271,65.888434,13.220163,419.662460,432.114407,12.451947,1.1416666667,1.2833333333,4,3,1,1
144,12,16,2,2,0,23,23,1.5334172245,43.123150,61.157204,18.034053,410.807844,431.506564,20.698720,1.2833333333,1.4250000000,4,3,1,3
145,12,17,2,3,1,22,24,1.5422044504,36.070858,54.674946,18.604088,407.697763,421.652129,13.954366,1.4250000000,1.5666666667,4,4,0,1
146,12,18,2,3,1,21,23,1.5897240702,30.794572,42.277376,11.482804,396.856989,407.697763,10.840774,1.4250000000,1.5666666667,4,3,1,1
147,12,19,2,3,1,20,22,1.5651550499,26.762035,31.011413,4.249378,385.165836,396.856989,11.691152,1.4250000000,1.5666666667,4,3,1,2
148,12,20,4,4,0,20,22,1.6980894169,23.608226,34.863707,11.255481,392.797397,396.930017,4.132620,1.5666666667,1.7083333333,3,2,1,2
149,13,9,5,5,0,28,32,1.8121927904,127.332171,140.366744,13.034573,489.955095,510.778393,20.823298,1.7083333333,1.8500000000,2,1,1,3
150,13,10,4,4,0,27,30,1.7011447536,118.579986,121.225148,2.645162,469.097269,493.353027,24.255758,1.5666666667,1.7083333333,4,3,1,2
151,13,11,3,3,0,26,28,1.6528675377,108.099758,120.324533,12.224775,468.108777,492.540288,24.431512,1.4250000000,1.5666666667,4,3,1,3
152,13,12,1,2,1,24,25,1.4926774161,96.218016,101.882649,5.664633,453.807706,469.957593,16.149887,1.2833333333,1.4250000000,4,3,1,3
153,13,13,1,1,0,23,22,1.4334125936,83.781984,85.541859,1.759876,435.439732,455.643987,20.204255,1.1416666667,1.2833333333,4,3,1,2
154,13,14,2,2,0,25,24,1.5028654509,71.900242,82.657135,10.756893,431.506564,453.807706,22.301142,1.2833333333,1.4250000000,4,4,0,2
155,13,15,2,3,1,24,25,1.5710920621,61.420014,68.629312,7.209298,421.652129,435.606495,13.954366,1.4250000000,1.5666666667,4,3,1,3
156,13,16,3,4,1,21,26,1.6804031118,52.667829,69.532435,16.864606,424.597392,434.467479,9.870087,1.5666666667,1.7083333333,4,2,2,2
157,13,17,4,4,0,23,24,1.7537608417,45.561886,55.268247,9.706361,408.082955,422.453539,14.370584,1.5666666667,1.7083333333,3,2,1,2
158,13,18,4,4,0,22,23,1.7462632400,39.841238,42.506486,2.665247,396.930017,408.082955,11.152938,1.5666666667,1.7083333333,3,3,0,1
159,13,19,4,5,1,21,22,1.7689542832,35.223151,49.242952,14.019800,397.275243,421.210661,23.935418,1.7083333333,1.8500000000,3,2,1,2
160,13,20,5,5,0,20,21,1.8183097523,31.461840,35.038758,3.576918,392.802272,397.275243,4.472970,1.7083333333,1.8500000000,3,3,0,0
161,13,21,5,5,0,19,20,1.7811883130,28.364377,28.336059,0.028318,383.869846,392.802272,8.932426,1.7083333333,1.8500000000,1,1,0,2
162,14,10,5,5,0,27,31,1.8077609722,112.962644,119.543446,6.580802,469.131797,489.955095,20.823298,1.7083333333,1.8500000000,2,2,0,1
163,14,11,5,5,0,26,30,1.8119803828,104.263214,104.427714,0.164500,459.723631,469.131797,9.408165,1.7083333333,1.8500000000,3,2,1,1
164,14,12,3,4,1,25,29,1.6361565535,94.843736,103.047476,8.203740,456.997682,469.097269,12.099586,1.5666666667,1.7083333333,4,3,1,3
