cell_id,layer,slot_in_layer,source_radius,source_theta_deg,theta_left_deg,theta_right_deg,r_inner,r_outer
44,4,29,1.6053241793,292.9626436618,291.0411880778,316.6428333997,1.6000134268,1.6999882585
150,5,1,1.7011447536,118.5799861045,99.2992559159,133.8927071863,1.6999882585,1.7810413090
135,5,2,1.7288082331,149.2054282681,133.8927071863,156.1852749645,1.6999882585,1.7810413090
119,5,3,1.7642616681,163.1651216608,156.1852749645,181.1010662194,1.6999882585,1.7810413090
60,5,4,1.7710620303,199.0370107781,181.1010662194,203.7007624569,1.6999882585,1.7810413090
48,5,5,1.7392995712,208.3645141357,203.7007624569,211.5654973340,1.6999882585,1.7810413090
33,5,6,1.6935352461,214.7664805324,211.5654973340,217.5390436885,1.6999882585,1.7810413090
19,5,7,1.7164244501,220.3116068446,217.5390436885,226.4901430289,1.6999882585,1.7810413090
8,5,8,1.7259056308,232.6686792132,226.4901430289,234.9165806701,1.6999882585,1.7810413090
9,5,9,1.7452164030,237.1644821270,234.9165806701,239.6652066733,1.6999882585,1.7810413090
10,5,10,1.7644449471,242.1659312196,239.6652066733,244.9196258293,1.6999882585,1.7810413090
11,5,11,1.7646658767,247.6733204389,244.9196258293,250.6625695922,1.6999882585,1.7810413090
12,5,12,1.7639016465,253.6518187455,250.6625695922,257.4897426857,1.6999882585,1.7810413090
3,5,13,1.7580710311,261.3276666259,257.4897426857,264.2084992891,1.6999882585,1.7810413090
4,5,14,1.7664921536,267.0893319523,264.2084992891,281.4892852136,1.6999882585,1.7810413090
31,5,15,1.7578433246,295.8892384750,281.4892852136,298.2827849538,1.6999882585,1.7810413090
45,5,16,1.7183871492,300.6763314327,298.2827849538,304.0039196191,1.6999882585,1.7810413090
72,5,17,1.7629388532,307.3315078055,304.0039196191,325.2482088481,1.6999882585,1.7810413090
88,5,18,1.7016363123,343.1649098906,325.2482088481,344.2353000770,1.6999882585,1.7810413090
89,5,19,1.7792149507,345.3056902634,344.2353000770,350.1549636901,1.6999882585,1.7810413090
104,5,20,1.7531205437,355.0042371169,350.1549636901,0.3819029345,1.6999882585,1.7810413090
