cell_id,row,col,corner_index,source_lon,source_lat,theta_rad,theta_deg,rho_unclipped,R,annulus_x,annulus_y
105,10,7,4,115.9000000000,40.4000020000,2.9264418813,167.672769,0.8606598247,1.7315608510,-1.6916383584,0.3696791108
106,10,8,1,116.0000000000,40.3000020000,3.1415900312,179.999850,0.8961792583,1.7617523695,-1.7617523695,0.0000046200
106,10,8,2,116.1000000000,40.3000020000,3.1415893756,179.999812,0.7169431378,1.6094016672,-1.6094016671,0.0000052756
106,10,8,3,116.1000000000,40.4000020000,2.8248305453,161.850868,0.5555979533,1.4722582603,-1.3990118997,0.4585957801
106,10,8,4,116.0000000000,40.4000020000,2.8851277495,165.305643,0.6870841031,1.5840214876,-1.5322124885,0.4018071221
107,10,9,1,116.0999940000,40.3000020000,3.1415893757,179.999812,0.7169538920,1.6094108082,-1.6094108082,0.0000052755
107,10,9,2,116.1999940000,40.3000020000,3.1415882831,179.999750,0.5377177715,1.4570601058,-1.4570601058,0.0000063681
107,10,9,3,116.1999940000,40.4000020000,2.7295535814,156.391900,0.4098678692,1.3483876888,-1.2355358962,0.5400003782
107,10,9,4,116.0999940000,40.4000020000,2.8248349851,161.851122,0.5556058425,1.4722649661,-1.3990203080,0.4585916575
108,10,10,1,116.2000000000,40.3000020000,3.1415882830,179.999750,0.5377070174,1.4570509648,-1.4570509648,0.0000063682
108,10,10,2,116.3000000000,40.3000020000,3.1415860977,179.999624,0.3584708969,1.3047002624,-1.3047002624,0.0000085535
108,10,10,3,116.3000000000,40.4000020000,2.5612910905,146.751170,0.3297332193,1.2802732364,-1.0706891125,0.7019432914
108,10,10,4,116.2000000000,40.4000020000,2.7295462423,156.391480,0.4098639994,1.3483843995,-1.2355289190,0.5400081287
109,10,11,1,116.3000060000,40.3000020000,3.1415860975,179.999624,0.3584601428,1.3046911214,-1.3046911213,0.0000085537
109,10,11,2,116.4000060000,40.3000020000,3.1415795409,179.999249,0.1792240223,1.1523404190,-1.1523404189,0.0000151102
109,10,11,3,116.4000060000,40.4000020000,2.2223222274,127.329684,0.2729980265,1.2320483225,-0.7471146516,0.9796748269
109,10,11,4,116.3000060000,40.4000020000,2.5612773346,146.750381,0.3297267226,1.2802677142,-1.0706748383,0.7019549919
110,10,12,1,116.4000000000,40.3000020000,3.1415795417,179.999249,0.1792347765,1.1523495600,-1.1523495599,0.0000151094
110,10,12,2,116.5000000000,40.3000020000,1.5707963268,90.000000,0.0000014681,1.0000012479,0.0000000000,1.0000012479
110,10,12,3,116.5000000000,40.4000020000,1.5707963268,90.000000,0.1468113617,1.1247896574,0.0000000000,1.1247896574
110,10,12,4,116.4000000000,40.4000020000,2.2223511596,127.331342,0.2730056689,1.2320548185,-0.7471469348,0.9796583760
111,10,13,1,116.5000000000,40.3000020000,1.5707963268,90.000000,0.0000014681,1.0000012479,0.0000000000,1.0000012479
111,10,13,2,116.6000000000,40.3000020000,0.0000131119,0.000751,0.1274811451,1.1083589733,1.1083589732,0.0000145326
111,10,13,3,116.6000000000,40.4000020000,0.9192414940,52.668658,0.2287064452,1.1944004784,0.7243124599,0.9497178335
111,10,13,4,116.5000000000,40.4000020000,1.5707963268,90.000000,0.1468113617,1.1247896574,0.0000000000,1.1247896574
112,10,14,1,116.5999940000,40.3000020000,0.0000131126,0.000751,0.1274734963,1.1083524719,1.1083524718,0.0000145334
112,10,14,2,116.6999940000,40.3000020000,0.0000065561,0.000376,0.2549531183,1.2167101506,1.2167101506,0.0000079769
112,10,14,3,116.6999940000,40.4000020000,0.5803153190,33.249619,0.2667660156,1.2267511133,1.0259194505,0.6726124999
112,10,14,4,116.5999940000,40.4000020000,0.9192704262,52.670316,0.2286995980,1.1943946583,0.7242814529,0.9497341611
113,10,15,1,116.7000000000,40.3000020000,0.0000065559,0.000376,0.2549607671,1.2167166521,1.2167166520,0.0000079767
113,10,15,2,116.8000000000,40.3000020000,0.0000043706,0.000250,0.3824403891,1.3250743308,1.3250743308,0.0000057914
113,10,15,3,116.8000000000,40.4000020000,0.4120464113,23.608520,0.3285134162,1.2792364037,1.1721683903,0.5123153730
113,10,15,4,116.7000000000,40.4000020000,0.5803015631,33.248830,0.2667694993,1.2267540744,1.0259311792,0.6726000109
114,10,16,1,116.8000060000,40.3000020000,0.0000043705,0.000250,0.3824480379,1.3250808322,1.3250808322,0.0000057913
114,10,16,2,116.9000060000,40.3000020000,0.0000032779,0.000188,0.5099276599,1.4334385110,1.4334385109,0.0000046987
114,10,16,3,116.9000060000,40.4000020000,0.3167576684,18.148878,0.5508425898,1.4682162013,1.3951729678,0.4573305192
114,10,16,4,116.8000060000,40.4000020000,0.4120390721,23.608100,0.3285189159,1.2792410785,1.1721764338,0.5123086423
115,10,17,1,116.9000000000,40.3000020000,0.0000032780,0.000188,0.5099200112,1.4334320095,1.4334320095,0.0000046987
115,10,17,2,117.0000000000,40.3000020000,0.0000026224,0.000150,0.6373996332,1.5417896882,1.5417896882,0.0000040431
115,10,17,3,117.0000000000,40.4000020000,0.2564649041,14.694357,0.6619144922,1.5626273184,1.5115180639,0.3963802200
115,10,17,4,116.9000000000,40.4000020000,0.3167621083,18.149132,0.5508359251,1.4682105363,1.3951655541,0.4573349489
116,10,18,1,117.0000000000,40.3000020000,0.0000026224,0.000150,0.6373996332,1.5417896882,1.5417896882,0.0000040431
116,10,18,2,117.1000000000,40.3000020000,0.0000021853,0.000125,0.7648792552,1.6501473669,1.6501473669,0.0000036061
116,10,18,3,117.1000000000,40.4000020000,0.2151507722,12.327231,0.8084051519,1.6871443791,1.6482459431,0.3601964283
116,10,18,4,117.0000000000,40.4000020000,0.2564649041,14.694357,0.6619144922,1.5626273184,1.5115180639,0.3963802200
117,10,19,1,117.0999940000,40.3000020000,0.0000021853,0.000125,0.7648716064,1.6501408655,1.6501408655,0.0000036061
117,10,19,2,117.1999940000,40.3000020000,0.0000018731,0.000107,0.8923512285,1.7584985442,1.7584985442,0.0000032939
117,10,19,3,117.1999940000,40.4000020000,0.1851699616,10.609457,0.9570071080,1.8134560418,1.7824549611,0.3338819063
117,10,19,4,117.0999940000,40.4000020000,0.2151528580,12.327351,0.8083951739,1.6871358978,1.6482369061,0.3601980554
118,10,20,1,117.2000000000,40.3000020000,0.0000018731,0.000107,0.8923588772,1.7585050456,1.7585050456,0.0000032939
118,10,20,2,117.3000000000,40.3000020000,0.0000016390,0.000094,1.0198384993,1.8668627244,1.8668627244,0.0000030598
