cell_id,row,col,center_lon,center_lat,theta_rad,theta_deg,rho,R,X_center,Y_center,fixed_cell_side
144,12,16,116.8500060000,40.5500000000,0.7526409567,43.123150,0.6275496759,1.5334172245,1.1192199804,1.0481960790,0.1554741767
145,12,17,116.9500000000,40.5500000000,0.6295552303,36.070858,0.6378875887,1.5422044504,1.2465476057,0.9080273309,0.1554741767
146,12,18,117.0500000000,40.5500000000,0.5374666685,30.794572,0.6937930238,1.5897240702,1.3655863373,0.8138774937,0.1554741767
147,12,19,117.1499940000,40.5500000000,0.4670856230,26.762035,0.6648882940,1.5651550499,1.3975024985,0.7047674062,0.1554741767
148,12,20,117.2500000000,40.5500000000,0.4120412739,23.608226,0.8212816669,1.6980894169,1.5559682338,0.6800518532,0.1554741767
149,13,9,116.1499940000,40.6500000000,2.2223656253,127.332171,0.9555209299,1.8121927904,-1.0989770500,1.4409344722,0.1554741767
150,13,10,116.2500000000,40.6500000000,2.0696111845,118.579986,0.8248761807,1.7011447536,-0.8138023744,1.4938604915,0.1554741767
151,13,11,116.3500060000,40.6500000000,1.8866967009,108.099758,0.7680794561,1.6528675377,-0.5135003546,1.5710787641,0.1554741767
152,13,12,116.4500000000,40.6500000000,1.6793211825,96.218016,0.5796204896,1.4926774161,-0.1616748065,1.4838959281,0.1554741767
153,13,13,116.5500000000,40.6500000000,1.4622714711,83.781984,0.5098971690,1.4334125936,0.1552557178,1.4249797632,0.1554741767
154,13,14,116.6499940000,40.6500000000,1.2548959527,71.900242,0.5916064128,1.5028654509,0.4668988435,1.4284992241,0.1554741767
155,13,15,116.7500000000,40.6500000000,1.0719814691,61.420014,0.6718730142,1.5710920621,0.7515870991,1.3796547032,0.1554741767
156,13,16,116.8500060000,40.6500000000,0.9192270282,52.667829,0.8004742492,1.6804031118,1.0190551824,1.3361441364,0.1554741767
157,13,17,116.9500000000,40.6500000000,0.7952049166,45.561886,0.8867774608,1.7537608417,1.2278754304,1.2521976749,0.1554741767
158,13,18,117.0500000000,40.6500000000,0.6953607857,39.841238,0.8779567529,1.7462632400,1.3408203984,1.1187653742,0.1554741767
159,13,19,117.1499940000,40.6500000000,0.6147599655,35.223151,0.9046520979,1.7689542832,1.4450798281,1.0202664096,0.1554741767
160,13,20,117.2500000000,40.6500000000,0.5491126971,31.461840,0.9627173556,1.8183097523,1.5509963413,0.9490314559,0.1554741767
161,13,21,117.3500060000,40.6500000000,0.4950517736,28.364377,0.9190450741,1.7811883130,1.5673461730,0.8462019738,0.1554741767
162,14,10,116.2500000000,40.7500000000,1.9715700637,112.962644,0.9503070261,1.8077609722,-0.7052633871,1.6645129280,0.1554741767
163,14,11,116.3500060000,40.7500000000,1.8197363775,104.263214,0.9552710385,1.8119803828,-0.4464299690,1.7561244803,0.1554741767
164,14,12,116.4500000000,40.7500000000,1.6553354653,94.843736,0.7484194747,1.6361565535,-0.1381545662,1.6303133390,0.1554741767
165,14,13,116.5500000000,40.7500000000,1.4862571883,85.156264,0.6514844976,1.5537618230,0.1311972807,1.5482128652,0.1554741767
