edge_id,cell_id_a,cell_id_b,index_a,index_b,row_a,col_a,row_b,col_b,initial_layer_a,initial_layer_b,initial_layer_delta,source_radius_a,source_radius_b,source_theta_a_deg,source_theta_b_deg,source_angle_delta_deg,source_radius_delta,initial_edge_type
31,17,30,16,29,3,15,4,15,5,3,2,1.8026506451,1.6827034645,286.348181,289.119732,2.771551,0.1199471806,long_layer_conflict
32,18,19,17,18,4,3,4,4,5,4,1,1.8008937424,1.7164244501,217.202462,220.311607,3.109145,0.0844692923,adjacent_layer
33,18,32,17,31,4,3,5,3,5,5,0,1.8008937424,1.8279461984,217.202462,211.843866,5.358596,0.0270524560,same_layer
34,19,20,18,19,4,4,4,5,4,3,1,1.7164244501,1.6770950678,220.311607,223.876687,3.565080,0.0393293824,adjacent_layer
35,19,33,18,32,4,4,5,4,4,4,0,1.7164244501,1.6935352461,220.311607,214.766481,5.545126,0.0228892040,same_layer
36,20,21,19,20,4,5,4,6,3,3,0,1.6770950678,1.6720853620,223.876687,227.970862,4.094174,0.0050097058,same_layer
37,20,34,19,33,4,5,5,5,3,3,0,1.6770950678,1.6362292396,223.876687,218.192478,5.684210,0.0408658282,same_layer
38,21,22,20,21,4,6,4,7,3,3,0,1.6720853620,1.6142314704,227.970862,232.668432,4.697570,0.0578538916,same_layer
39,21,35,20,34,4,6,5,6,3,2,1,1.6720853620,1.5635032086,227.970862,222.231612,5.739250,0.1085821534,adjacent_layer
40,22,23,21,22,4,7,4,8,3,3,0,1.6142314704,1.6355803053,232.668432,238.035828,5.367396,0.0213488349,same_layer
41,22,36,21,35,4,7,5,7,3,2,1,1.6142314704,1.5495666037,232.668432,227.011122,5.657310,0.0646648667,adjacent_layer
42,23,24,22,23,4,8,4,9,3,3,0,1.6355803053,1.6465270294,238.035828,244.110762,6.074934,0.0109467241,same_layer
43,23,37,22,36,4,8,5,8,3,2,1,1.6355803053,1.5025522675,238.035828,232.668320,5.367508,0.1330280378,adjacent_layer
44,24,25,23,24,4,9,4,10,3,3,0,1.6465270294,1.6541017798,244.110762,250.880268,6.769506,0.0075747504,same_layer
45,24,38,23,37,4,9,5,9,3,2,1,1.6465270294,1.5292727952,244.110762,239.323669,4.787093,0.1172542342,adjacent_layer
46,25,26,24,25,4,10,4,11,3,2,1,1.6541017798,1.5843045308,250.880268,258.250469,7.370202,0.0697972490,adjacent_layer
